time,queue_length
0.0,0
1.0,0
2.0,0
3.0,0
4.0,1
5.0,2
6.0,3
7.0,3
8.0,2
9.0,0
10.0,1
11.0,0
12.0,2
13.0,3
14.0,0
15.0,0
16.0,2
17.0,4
18.0,6
19.0,5
20.0,5
21.0,6
22.0,5
23.0,6
24.0,6
25.0,7
26.0,8
27.0,10
28.0,9
29.0,9
30.0,8
31.0,10
32.0,10
33.0,7
34.0,7
35.0,6
36.0,6
37.0,6
38.0,5
39.0,4
40.0,3
41.0,4
42.0,4
43.0,3
44.0,3
45.0,2
46.0,2
47.0,4
48.0,4
49.0,2
50.0,2
51.0,3
52.0,4
53.0,5
54.0,4
55.0,6
56.0,7
57.0,6
58.0,4
59.0,4
60.0,5
61.0,5
62.0,5
63.0,5
64.0,4
65.0,3
66.0,3
67.0,3
68.0,2
69.0,1
70.0,3
71.0,3
72.0,4
73.0,3
74.0,1
75.0,1
76.0,1
77.0,2
78.0,2
79.0,0
80.0,0
81.0,0
82.0,0
83.0,0
84.0,0
85.0,0
86.0,0
87.0,0
88.0,0
89.0,0
90.0,0
91.0,0
92.0,0
93.0,0
94.0,0
95.0,0
96.0,0
97.0,0
98.0,0
99.0,0
100.0,0
101.0,0
102.0,0
103.0,0
104.0,0
105.0,0
106.0,0
107.0,0
108.0,0
109.0,0
110.0,0
111.0,0
112.0,0
113.0,0
114.0,0
115.0,0
116.0,0
117.0,0
118.0,0
119.0,0
120.0,0
121.0,0
122.0,0
123.0,0
124.0,0
125.0,1
126.0,2
127.0,2
128.0,0
129.0,0
130.0,0
131.0,0
132.0,0
133.0,0
134.0,0
135.0,0
136.0,0
137.0,0
138.0,0
139.0,0
140.0,0
141.0,0
142.0,0
143.0,0
144.0,1
145.0,1
146.0,2
147.0,3
148.0,3
149.0,2
150.0,1
151.0,2
152.0,2
153.0,1
154.0,1
155.0,1
156.0,2
157.0,5
158.0,5
159.0,4
160.0,4
161.0,4
162.0,5
163.0,5
164.0,3
165.0,5
166.0,4
167.0,5
168.0,7
169.0,4
170.0,6
171.0,6
172.0,7
173.0,7
174.0,6
175.0,6
176.0,6
177.0,7
178.0,9
179.0,10
180.0,9
181.0,9
182.0,11
183.0,12
184.0,10
185.0,9
186.0,9
187.0,11
188.0,13
189.0,12
190.0,12
191.0,12
192.0,14
193.0,15
194.0,15
195.0,13
196.0,14
197.0,14
198.0,15
199.0,13
200.0,12
201.0,11
202.0,12
203.0,13
204.0,10
205.0,11
206.0,10
207.0,11
208.0,11
209.0,10
210.0,9
211.0,9
212.0,8
213.0,7
214.0,7
215.0,7
216.0,9
217.0,8
218.0,7
219.0,6
220.0,6
221.0,7
222.0,7
223.0,4
224.0,4
225.0,5
226.0,5
227.0,4
228.0,3
229.0,3
230.0,4
231.0,3
232.0,7
233.0,6
234.0,5
235.0,6
236.0,9
237.0,10
238.0,9
239.0,9
240.0,8
241.0,7
242.0,7
243.0,6
244.0,9
245.0,8
246.0,10
247.0,9
248.0,8
249.0,9
250.0,7
251.0,9
252.0,8
253.0,9
254.0,9
255.0,8
256.0,8
257.0,8
258.0,6
259.0,9
260.0,8
261.0,11
262.0,11
263.0,11
264.0,10
265.0,9
266.0,9
267.0,9
268.0,10
269.0,10
270.0,9
271.0,9
272.0,10
273.0,10
274.0,10
275.0,11
276.0,12
277.0,11
278.0,11
279.0,9
280.0,9
281.0,9
282.0,9
283.0,7
284.0,6
285.0,6
286.0,6
287.0,5
288.0,4
289.0,3
290.0,4
291.0,4
292.0,3
293.0,2
294.0,3
295.0,5
296.0,4
297.0,4
298.0,2
299.0,3
300.0,4
301.0,4
302.0,5
303.0,2
304.0,3
305.0,4
306.0,3
307.0,3
308.0,4
309.0,4
310.0,4
311.0,4
312.0,4
313.0,2
314.0,3
315.0,3
316.0,2
317.0,1
318.0,2
319.0,1
320.0,1
321.0,1
322.0,1
323.0,0
324.0,0
325.0,0
326.0,0
327.0,1
328.0,0
329.0,0
330.0,0
331.0,0
332.0,0
333.0,0
334.0,0
335.0,0
336.0,0
337.0,0
338.0,0
339.0,1
340.0,0
341.0,0
342.0,0
343.0,0
344.0,0
345.0,0
346.0,0
347.0,0
348.0,0
349.0,0
350.0,0
351.0,0
352.0,0
353.0,0
354.0,0
355.0,0
356.0,0
357.0,0
358.0,0
359.0,0
360.0,0
361.0,0
362.0,0
363.0,0
364.0,0
365.0,0
366.0,0
367.0,0
368.0,0
369.0,0
370.0,0
371.0,0
372.0,0
373.0,0
374.0,0
375.0,0
376.0,2
377.0,2
378.0,2
379.0,4
380.0,1
381.0,3
382.0,4
383.0,4
384.0,6
385.0,4
386.0,5
387.0,6
388.0,5
389.0,5
390.0,3
391.0,3
392.0,4
393.0,4
394.0,1
395.0,0
396.0,2
397.0,2
398.0,2
399.0,0
400.0,0
401.0,2
402.0,3
403.0,4
404.0,3
405.0,3
406.0,4
407.0,4
408.0,6
409.0,4
410.0,3
411.0,3
412.0,4
413.0,6
414.0,5
415.0,3
416.0,2
417.0,4
418.0,4
419.0,4
420.0,3
421.0,3
422.0,4
423.0,4
424.0,4
425.0,3
426.0,3
427.0,4
428.0,3
429.0,3
430.0,3
431.0,3
432.0,3
433.0,3
434.0,2
435.0,2
436.0,2
437.0,2
438.0,2
439.0,1
440.0,1
441.0,3
442.0,4
443.0,3
444.0,1
445.0,0
446.0,2
447.0,1
448.0,2
449.0,0
450.0,0
451.0,1
452.0,2
453.0,3
454.0,4
455.0,4
456.0,4
457.0,4
458.0,3
459.0,7
460.0,6
461.0,5
462.0,3
463.0,5
464.0,6
465.0,7
466.0,5
467.0,5
468.0,5
469.0,7
470.0,7
471.0,5
472.0,4
473.0,5
474.0,5
475.0,6
476.0,6
477.0,5
478.0,4
479.0,3
480.0,4
481.0,5
482.0,4
483.0,5
484.0,5
485.0,4
486.0,3
487.0,4
488.0,4
489.0,3
490.0,2
491.0,1
492.0,1
493.0,0
494.0,0
495.0,1
496.0,0
497.0,0
498.0,0
499.0,0
500.0,0
501.0,0
502.0,0
503.0,0
504.0,0
505.0,0
506.0,0
507.0,0
508.0,0
509.0,0
510.0,0
511.0,0
512.0,0
513.0,0
514.0,0
515.0,0
516.0,0
517.0,0
518.0,0
519.0,0
520.0,0
521.0,0
522.0,2
523.0,3
524.0,1
525.0,3
526.0,3
527.0,3
528.0,4
529.0,4
530.0,4
531.0,3
532.0,3
533.0,2
534.0,3
535.0,2
536.0,2
537.0,3
538.0,4
539.0,4
540.0,3
541.0,2
542.0,2
543.0,1
544.0,2
545.0,2
546.0,1
547.0,0
548.0,0
549.0,0
550.0,0
551.0,0
552.0,0
553.0,0
554.0,0
555.0,2
556.0,1
557.0,1
558.0,1
559.0,0
560.0,0
561.0,0
562.0,0
563.0,0
564.0,0
565.0,0
566.0,0
567.0,0
568.0,0
569.0,0
570.0,1
571.0,1
