time,queue_length
0.0,0
1.0,0
2.0,0
3.0,2
4.0,2
5.0,1
6.0,3
7.0,2
8.0,2
9.0,2
10.0,2
11.0,2
12.0,1
13.0,2
14.0,4
15.0,6
16.0,10
17.0,9
18.0,8
19.0,9
20.0,8
21.0,8
22.0,8
23.0,7
24.0,7
25.0,7
26.0,10
27.0,9
28.0,9
29.0,12
30.0,11
31.0,12
32.0,10
33.0,11
34.0,11
35.0,12
36.0,11
37.0,10
38.0,12
39.0,10
40.0,11
41.0,11
42.0,10
43.0,10
44.0,10
45.0,12
46.0,12
47.0,12
48.0,13
49.0,12
50.0,13
51.0,13
52.0,14
53.0,15
54.0,16
55.0,14
56.0,14
57.0,13
58.0,12
59.0,13
60.0,15
61.0,14
62.0,16
63.0,16
64.0,16
65.0,17
66.0,16
67.0,15
68.0,14
69.0,16
70.0,16
71.0,16
72.0,15
73.0,15
74.0,15
75.0,16
76.0,15
77.0,13
78.0,14
79.0,17
80.0,17
81.0,16
82.0,15
83.0,15
84.0,17
85.0,17
86.0,16
87.0,15
88.0,15
89.0,15
90.0,15
91.0,16
92.0,15
93.0,15
94.0,16
95.0,17
96.0,19
97.0,17
98.0,18
99.0,19
100.0,19
101.0,17
102.0,16
103.0,17
104.0,18
105.0,18
106.0,18
107.0,17
108.0,16
109.0,16
110.0,16
111.0,14
112.0,15
113.0,16
114.0,16
115.0,17
116.0,17
117.0,16
118.0,17
119.0,18
120.0,18
121.0,17
122.0,16
123.0,17
124.0,17
125.0,17
126.0,17
127.0,17
128.0,17
129.0,17
130.0,19
131.0,21
132.0,19
133.0,21
134.0,19
135.0,19
136.0,17
137.0,19
138.0,20
139.0,20
140.0,21
141.0,19
142.0,20
143.0,19
144.0,19
145.0,20
146.0,21
147.0,20
148.0,20
149.0,21
150.0,21
151.0,21
152.0,22
153.0,21
154.0,21
155.0,20
156.0,24
157.0,27
158.0,29
159.0,29
160.0,28
161.0,29
162.0,29
163.0,30
164.0,30
165.0,29
166.0,28
167.0,28
168.0,28
169.0,28
170.0,30
171.0,28
172.0,27
173.0,29
174.0,30
175.0,29
176.0,27
177.0,27
178.0,27
179.0,28
180.0,27
181.0,25
182.0,25
183.0,27
184.0,26
185.0,25
186.0,26
187.0,28
188.0,27
189.0,27
190.0,29
191.0,28
192.0,28
193.0,28
194.0,28
195.0,29
196.0,28
197.0,27
198.0,26
199.0,25
200.0,26
201.0,26
202.0,27
203.0,26
204.0,26
205.0,28
206.0,28
207.0,28
208.0,29
209.0,30
210.0,30
211.0,30
212.0,32
213.0,31
214.0,31
215.0,31
216.0,32
217.0,32
218.0,30
219.0,29
220.0,31
221.0,31
222.0,33
223.0,30
224.0,30
225.0,30
226.0,34
227.0,34
228.0,33
229.0,34
230.0,38
231.0,38
232.0,37
233.0,38
234.0,36
235.0,39
236.0,43
237.0,41
238.0,39
239.0,39
240.0,39
241.0,40
242.0,39
243.0,36
244.0,37
245.0,37
246.0,36
247.0,35
248.0,34
249.0,33
250.0,33
251.0,33
252.0,33
253.0,34
254.0,35
255.0,37
256.0,36
257.0,37
258.0,40
259.0,39
260.0,42
261.0,42
262.0,42
263.0,44
264.0,42
265.0,43
266.0,43
267.0,41
268.0,44
269.0,42
270.0,43
271.0,42
272.0,42
273.0,42
274.0,43
275.0,43
276.0,42
277.0,42
278.0,43
279.0,43
280.0,45
281.0,46
282.0,46
283.0,45
284.0,44
285.0,45
286.0,44
287.0,45
288.0,44
289.0,44
290.0,44
291.0,45
292.0,47
293.0,46
294.0,45
295.0,46
296.0,45
297.0,45
298.0,44
299.0,42
300.0,44
301.0,43
302.0,44
303.0,42
304.0,43
305.0,45
306.0,45
307.0,46
308.0,44
309.0,44
310.0,45
311.0,45
312.0,47
313.0,47
314.0,48
315.0,47
316.0,48
317.0,50
318.0,48
319.0,52
320.0,52
321.0,52
322.0,52
323.0,51
324.0,53
325.0,53
326.0,52
327.0,51
328.0,50
329.0,51
330.0,51
331.0,51
332.0,52
333.0,51
334.0,52
335.0,53
336.0,53
337.0,51
338.0,52
339.0,51
340.0,50
341.0,52
342.0,51
343.0,50
344.0,49
345.0,49
346.0,48
347.0,48
348.0,49
349.0,48
350.0,47
351.0,49
352.0,48
353.0,49
354.0,49
355.0,50
356.0,49
357.0,49
358.0,51
359.0,52
360.0,49
361.0,49
362.0,50
363.0,50
364.0,51
365.0,52
366.0,49
367.0,51
368.0,52
369.0,52
370.0,51
371.0,53
372.0,50
373.0,51
374.0,51
375.0,50
376.0,50
377.0,48
378.0,49
379.0,49
380.0,52
381.0,50
382.0,55
383.0,56
384.0,54
385.0,56
386.0,56
387.0,54
388.0,53
389.0,56
390.0,56
391.0,57
392.0,55
393.0,55
394.0,54
395.0,54
396.0,54
397.0,52
398.0,54
399.0,53
400.0,53
401.0,53
402.0,52
403.0,51
404.0,50
405.0,50
406.0,50
407.0,49
408.0,50
409.0,50
410.0,52
411.0,52
412.0,51
413.0,52
414.0,50
415.0,51
416.0,51
417.0,50
418.0,51
419.0,50
420.0,51
421.0,52
422.0,53
423.0,52
424.0,51
425.0,52
426.0,53
427.0,56
428.0,57
429.0,56
430.0,60
431.0,59
432.0,59
433.0,59
434.0,59
435.0,61
436.0,63
437.0,63
438.0,60
439.0,61
440.0,61
441.0,60
442.0,61
443.0,62
444.0,62
445.0,63
446.0,62
447.0,62
448.0,60
449.0,60
450.0,62
451.0,63
452.0,62
453.0,60
454.0,61
455.0,63
456.0,66
457.0,66
458.0,65
459.0,65
460.0,65
461.0,65
462.0,64
463.0,63
464.0,63
465.0,64
466.0,65
467.0,66
468.0,64
469.0,64
470.0,65
471.0,69
472.0,72
473.0,70
474.0,69
475.0,69
476.0,70
477.0,69
478.0,69
479.0,70
480.0,70
481.0,70
482.0,69
483.0,68
484.0,67
485.0,70
486.0,70
487.0,70
488.0,69
489.0,69
490.0,70
491.0,71
492.0,71
493.0,71
494.0,71
495.0,72
496.0,72
497.0,74
498.0,71
499.0,72
500.0,73
501.0,73
502.0,72
503.0,73
504.0,72
505.0,74
506.0,74
507.0,73
508.0,76
509.0,75
510.0,76
511.0,76
512.0,76
513.0,75
514.0,74
515.0,74
516.0,74
517.0,75
518.0,75
519.0,75
520.0,75
521.0,74
522.0,73
523.0,72
524.0,72
525.0,73
526.0,74
527.0,74
528.0,74
529.0,74
530.0,73
531.0,74
532.0,74
533.0,74
534.0,75
535.0,76
536.0,77
537.0,77
538.0,78
539.0,77
540.0,77
541.0,75
542.0,77
543.0,78
544.0,79
545.0,78
546.0,78
547.0,77
548.0,76
549.0,76
550.0,76
551.0,77
552.0,77
553.0,75
554.0,75
555.0,76
556.0,76
557.0,77
558.0,76
559.0,75
560.0,75
561.0,76
562.0,76
563.0,75
564.0,77
565.0,76
566.0,79
567.0,79
568.0,78
569.0,76
570.0,77
571.0,77
