task_name,arrival_time,start_time,service_time,completion_time,wait_time,turnaround_time
Task-1,1.4572289818211444,1.4572289818211444,4.7515777632943985,6.208806745115543,0.0,4.75158
Task-2,1.4934130375964856,1.4934130375964856,6.405730208793211,7.899143246389697,0.0,6.40573
Task-3,3.3985454273223183,3.3985454273223183,4.930970468628594,8.329515895950912,0.0,4.93097
Task-4,3.5284774339031273,3.5284774339031273,5.00471879040783,8.533196224310958,0.0,5.00472
Task-5,3.8809298567028763,6.208806745115543,4.416177493085035,10.624984238200579,2.32788,6.74405
Task-6,4.197632241222419,7.899143246389697,5.257608109538596,13.156751355928293,3.70151,8.95912
Task-7,5.696906528683237,8.329515895950912,4.845508232962889,13.175024128913801,2.63261,7.47812
Task-8,6.8216626061723815,8.533196224310958,5.461303712821492,13.99449993713245,1.71153,7.17284
Task-9,9.18985988363395,10.624984238200579,6.155887355216292,16.78087159341687,1.43512,7.59101
Task-11,11.738452902627168,13.175024128913801,5.2245888671391345,18.399612996052937,1.43657,6.66116
Task-12,12.885671110465005,13.99449993713245,4.495435084724503,18.48993502185695,1.10883,5.60426
Task-10,11.058917641414332,13.156751355928293,5.735119564613094,18.891870920541386,2.09783,7.83295
Task-13,15.41204394558715,16.78087159341687,5.183235378411093,21.964106971827963,1.36883,6.55206
Task-15,16.01887848792811,18.48993502185695,4.534729326389331,23.024664348246283,2.47106,7.00579
Task-14,15.900084884415266,18.399612996052937,5.11293642198069,23.51254941803363,2.49953,7.61246
Task-16,16.39744402563097,18.891870920541386,5.15488789084788,24.046758811389267,2.49443,7.64931
Task-17,16.54954950350451,21.964106971827963,5.307078493181608,27.271185465009573,5.41456,10.72164
Task-18,17.01482604631636,23.024664348246283,4.747504237491889,27.77216858573817,6.00984,10.75734
Task-19,17.67528711810557,23.51254941803363,4.53865217909174,28.05120159712537,5.83726,10.37591
Task-20,18.011142141610915,24.046758811389267,5.657091690652743,29.70385050204201,6.03562,11.69271
Task-23,22.96435715946788,28.05120159712537,4.101260714075236,32.15246231120061,5.08684,9.18811
Task-22,20.320690395685727,27.77216858573817,5.008988444916958,32.78115703065513,7.45148,12.46047
Task-21,18.45482688609661,27.271185465009573,5.568162486125467,32.83934795113504,8.81636,14.38452
Task-24,23.010966809210938,29.70385050204201,4.928702248083585,34.6325527501256,6.69288,11.62159
Task-27,24.711383422334908,32.83934795113504,5.04325273291601,37.88260068405105,8.12796,13.17122
Task-25,23.55239258572332,32.15246231120061,5.863479697877581,38.01594200907819,8.60007,14.46355
Task-26,24.271780916219882,32.78115703065513,5.594826808184032,38.37598383883916,8.50938,14.1042
Task-28,25.115948416331605,34.6325527501256,5.136093461413756,39.768646211539355,9.5166,14.6527
Task-30,26.728679332517164,38.01594200907819,4.593610966063453,42.60955297514164,11.28726,15.88087
Task-29,26.293226690775462,37.88260068405105,4.897568295258612,42.780168979309664,11.58937,16.48694
Task-31,27.983650249829047,38.37598383883916,5.453018442510786,43.82900228134995,10.39233,15.84535
Task-32,28.052596674980325,39.768646211539355,5.110334094154921,44.87898030569428,11.71605,16.82638
Task-34,30.982953534235865,42.780168979309664,4.824740640846708,47.60490962015637,11.79722,16.62196
Task-33,30.296309291452427,42.60955297514164,5.508884487354901,48.118437462496544,12.31324,17.82213
Task-35,38.91477627797628,43.82900228134995,4.987089561419254,48.816091842769204,4.91423,9.90132
Task-36,40.370115459428504,44.87898030569428,5.954602869408443,50.83358317510272,4.50886,10.46347
Task-37,42.42387707448858,47.60490962015637,5.058126551681957,52.66303617183833,5.18103,10.23916
Task-38,43.53127673922983,48.118437462496544,4.9163545433738225,53.034792005870365,4.58716,9.50352
Task-39,46.536723766865265,48.816091842769204,5.124808009798279,53.94089985256748,2.27937,7.40418
Task-40,46.733030742650634,50.83358317510272,5.228795166738593,56.06237834184131,4.10055,9.32935
Task-41,47.65430934855911,52.66303617183833,5.098388724433255,57.761424896271585,5.00873,10.10712
Task-42,50.595900611812425,53.034792005870365,4.74167315695604,57.776465162826405,2.43889,7.18056
Task-43,50.916734064183984,53.94089985256748,4.321102488199431,58.26200234076691,3.02417,7.34527
Task-44,51.958064855685656,56.06237834184131,5.115560120476811,61.177938462318124,4.10431,9.21987
Task-46,52.50588906678458,57.776465162826405,4.7059414729387505,62.48240663576516,5.27058,9.97652
Task-47,53.09534475157779,58.26200234076691,4.89739831310143,63.159400653868346,5.16666,10.06406
Task-45,52.14231507677831,57.761424896271585,6.2682205486799045,64.02964544495148,5.61911,11.88733
Task-48,54.51997002424383,61.177938462318124,4.4233764333223915,65.60131489564051,6.65797,11.08134
Task-49,54.86439832937118,62.48240663576516,4.733766496416139,67.2161731321813,7.61801,12.35177
Task-50,55.06714533165743,63.159400653868346,4.923757061041315,68.08315771490966,8.09226,13.01601
Task-51,58.98330370844783,64.02964544495148,4.74679070952073,68.77643615447221,5.04634,9.79313
Task-52,59.882275333279274,65.60131489564051,4.648178304409975,70.2494932000505,5.71904,10.36722
Task-53,61.74787016839916,67.2161731321813,5.0454673529526355,72.26164048513394,5.4683,10.51377
Task-54,62.3399549445989,68.08315771490966,5.358765255990283,73.44192297089994,5.7432,11.10197
Task-55,65.16585705857854,68.77643615447221,4.984335158398171,73.76077131287038,3.61058,8.59491
Task-56,68.8335787172477,70.2494932000505,5.447099530576026,75.69659273062652,1.41591,6.86301
Task-57,69.56580864508894,72.26164048513394,5.221654078365822,77.48329456349975,2.69583,7.91749
Task-58,69.6521297226057,73.44192297089994,5.148355792832998,78.59027876373294,3.78979,8.93815
Task-59,70.3326738816255,73.76077131287038,5.22560102416039,78.98637233703076,3.4281,8.6537
Task-60,71.11828243383209,75.69659273062652,5.016600717915479,80.713193448542,4.57831,9.59491
Task-61,75.62395326097244,77.48329456349975,4.557631708705374,82.04092627220513,1.85934,6.41697
Task-63,77.12223724872986,78.98637233703076,4.74192809773624,83.728300434767,1.86414,6.60606
Task-62,76.87752043187234,78.59027876373294,5.2509877860761325,83.84126654980908,1.71276,6.96375
Task-64,81.74872367041468,81.74872367041468,4.463137874153116,86.2118615445678,0.0,4.46314
Task-65,84.90570978027901,84.90570978027901,4.833578335894153,89.73928811617316,0.0,4.83358
Task-66,86.28564941597195,86.28564941597195,5.468588927679219,91.75423834365117,0.0,5.46859
Task-67,87.34248279999923,87.34248279999923,4.629029291537301,91.97151209153654,0.0,4.62903
Task-68,89.1417065483822,89.1417065483822,4.749123192587327,93.89082974096954,0.0,4.74912
Task-69,90.73284608282178,90.73284608282178,4.323154366230099,95.05600044905188,0.0,4.32315
Task-70,92.72396076922935,92.72396076922935,4.665152408312164,97.38911317754152,0.0,4.66515
Task-71,101.9702029515079,101.9702029515079,4.867124333223124,106.83732728473103,0.0,4.86712
Task-72,105.8372622170219,105.8372622170219,5.449598764834933,111.28686098185683,0.0,5.4496
Task-73,108.40045114827251,108.40045114827251,5.388227556226471,113.78867870449898,0.0,5.38823
Task-74,114.63030335715415,114.63030335715415,5.062740609931498,119.69304396708564,0.0,5.06274
Task-75,116.18576974464811,116.18576974464811,5.234378760825729,121.42014850547385,0.0,5.23438
Task-76,117.5121108720928,117.5121108720928,4.604186328510346,122.11629720060316,0.0,4.60419
Task-77,118.94892846911453,118.94892846911453,4.9093707314476305,123.85829920056216,0.0,4.90937
Task-79,122.3217551497699,122.3217551497699,5.461543887146308,127.7832990369162,0.0,5.46154
Task-78,122.31668087842468,122.31668087842468,5.640851063330552,127.95753194175524,0.0,5.64085
Task-80,122.75568491578608,122.75568491578608,5.236423979244535,127.99210889503061,0.0,5.23642
Task-81,123.55292647707364,123.85829920056216,4.65405891746139,128.51235811802354,0.30537,4.95943
Task-83,125.32726416253587,127.95753194175524,4.760540775076087,132.71807271683133,2.63027,7.39081
Task-82,124.80077454664759,127.7832990369162,5.4331851915301925,133.2164842284464,2.98252,8.41571
Task-84,128.60219487561906,128.60219487561906,5.555061192449616,134.15725606806868,0.0,5.55506
