task_name,arrival_time,start_time,service_time,completion_time,wait_time,turnaround_time
Task-1,0.034822084442358944,0.034822084442358944,4.737296684253357,4.772118768695716,0.0,4.7373
Task-2,2.090767400670245,2.090767400670245,3.7461659677827113,5.836933368452956,0.0,3.74617
Task-3,2.8356387056081163,2.8356387056081163,5.036394943136591,7.872033648744707,0.0,5.03639
Task-4,4.774556345069261,4.774556345069261,5.170483219395893,9.945039564465155,0.0,5.17048
Task-5,5.699058436883742,5.699058436883742,5.211425837374926,10.910484274258668,0.0,5.21143
Task-6,6.332969216891307,6.332969216891307,5.355311829965214,11.68828104685652,0.0,5.35531
Task-7,7.283876166783939,7.283876166783939,5.375638915550182,12.65951508233412,0.0,5.37564
Task-9,8.9126378587157,8.9126378587157,4.270584369471134,13.183222228186834,0.0,4.27058
Task-8,8.665059277075393,8.665059277075393,4.743507416041857,13.408566693117251,0.0,4.74351
Task-10,9.012225281868776,9.945039564465155,5.300802123769305,15.24584168823446,0.93281,6.23362
Task-11,9.123411858180752,10.910484274258668,4.453425946068193,15.363910220326861,1.78707,6.2405
Task-13,9.583993242954698,12.65951508233412,4.896408601281857,17.55592368361598,3.07552,7.97193
Task-12,9.37988394036929,11.68828104685652,6.041359382496241,17.729640429352763,2.3084,8.34976
Task-14,10.660949796432405,13.183222228186834,4.68314374328851,17.866365971475343,2.52227,7.20542
Task-15,11.521728030127601,13.408566693117251,5.301682971678862,18.710249664796113,1.88684,7.18852
Task-17,12.638903457998158,15.363910220326861,4.639374941549162,20.003285161876022,2.72501,7.36438
Task-16,12.604078742775119,15.24584168823446,5.119796144869798,20.36563783310426,2.64176,7.76156
Task-20,17.091123751947404,17.866365971475343,4.545132077154625,22.411498048629966,0.77524,5.32037
Task-18,15.00351854494593,17.55592368361598,4.947675426668817,22.503599110284796,2.55241,7.50008
Task-19,15.392912063053313,17.729640429352763,5.229140760065474,22.958781189418236,2.33673,7.56587
Task-22,19.41520643322151,20.003285161876022,3.912457638661375,23.915742800537398,0.58808,4.50054
Task-21,17.951983280264212,18.710249664796113,5.548617585142863,24.258867249938977,0.75827,6.30688
Task-23,21.645720607837205,21.645720607837205,5.124558539607763,26.770279147444967,0.0,5.12456
Task-24,22.31389257883123,22.411498048629966,4.718865876967088,27.130363925597052,0.09761,4.81647
Task-26,23.4817487912404,23.4817487912404,4.58517483322661,28.06692362446701,0.0,4.58517
Task-25,23.416551097465653,23.416551097465653,4.6772894033355765,28.093840500801228,0.0,4.67729
Task-27,26.827139251531946,26.827139251531946,4.258005504650649,31.085144756182594,0.0,4.25801
Task-28,27.438583758662965,27.438583758662965,5.462082378815394,32.90066613747836,0.0,5.46208
Task-29,27.78915370901926,27.78915370901926,5.635547218755596,33.42470092777486,0.0,5.63555
Task-30,28.362145749713765,28.362145749713765,5.309896257182944,33.67204200689671,0.0,5.3099
Task-31,28.868909798156146,28.868909798156146,5.10755425731343,33.97646405546958,0.0,5.10755
Task-32,29.78754402239718,29.78754402239718,5.042331021958336,34.82987504435552,0.0,5.04233
Task-33,30.237989996008178,31.085144756182594,5.646679074062775,36.73182383024537,0.84715,6.49383
Task-34,30.34350393817804,32.90066613747836,5.6638247167738,38.56449085425216,2.55716,8.22099
Task-35,30.524588879108105,33.42470092777486,5.5473311866513715,38.97203211442623,2.90011,8.44744
Task-37,32.92128621515342,33.97646405546958,5.069475649892045,39.04593970536162,1.05518,6.12465
Task-36,31.530565345967318,33.67204200689671,5.6348542108709,39.30689621776761,2.14148,7.77633
Task-38,33.247600154415636,34.82987504435552,5.937955682822009,40.767830727177525,1.58227,7.52023
Task-39,36.443168828715145,36.73182383024537,4.358772789087425,41.09059661933279,0.28866,4.64743
Task-41,39.799341874876795,39.799341874876795,5.510568950386459,45.30991082526325,0.0,5.51057
Task-40,39.64410043843327,39.64410043843327,6.174894453754586,45.81899489218786,0.0,6.17489
Task-42,41.4443462225803,41.4443462225803,5.2057570543813405,46.650103276961644,0.0,5.20576
Task-44,43.20248028278392,43.20248028278392,4.851827121928368,48.05430740471228,0.0,4.85183
Task-43,42.987588469812046,42.987588469812046,5.549130988108752,48.536719457920796,0.0,5.54913
Task-45,45.434033917380425,45.434033917380425,4.819498741475055,50.25353265885548,0.0,4.8195
Task-46,46.86358905802005,46.86358905802005,4.927023158118097,51.79061221613814,0.0,4.92702
Task-47,47.85391859149947,47.85391859149947,4.9578936257910895,52.81181221729056,0.0,4.95789
